,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
285,INOV,37534.0,8230.0,21,2116,7,6,BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
286,INOV,37534.0,3548.0,9,786,3,2,CCI_20_AND_SO_14,LAYER_3,Fraksi_1
287,INOV,37534.0,5308.0,14,1436,5,4,CCI_20_OR_SO_14,LAYER_3,Fraksi_1
360,BEST,24889.0,2784.0,11,307,2,1,MFII_14_AND_BB_MAVG_20,LAYER_3,Fraksi_1
361,BEST,25290.0,-4175.0,-16,2975,13,13,MFII_14_OR_BB_MAVG_20,LAYER_3,Fraksi_1
362,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_CCI_20,LAYER_3,Fraksi_1
363,BEST,25290.0,-5424.0,-21,2424,11,11,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
364,BEST,24889.0,2784.0,11,307,2,1,MFII_14_AND_SO_14,LAYER_3,Fraksi_1
365,BEST,25290.0,-5424.0,-21,2424,11,11,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
366,BEST,25290.0,-3166.0,-12,1766,8,8,BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
367,BEST,25290.0,-8890.0,-35,4490,20,20,BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
368,BEST,24086.0,-3112.0,-12,1112,5,5,BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
369,BEST,25290.0,-7162.0,-28,2962,13,13,BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
370,BEST,24086.0,-3508.0,-14,1108,5,5,CCI_20_AND_SO_14,LAYER_3,Fraksi_1
371,BEST,25290.0,-5825.0,-23,2425,11,11,CCI_20_OR_SO_14,LAYER_3,Fraksi_1
40,ALMI,52187.0,-30189.0,-57,989,3,3,MFII_14,LAYER_3,Fraksi_2
41,ALMI,61219.0,-21331.0,-34,5231,14,14,BB_MAVG_20,LAYER_3,Fraksi_2
42,ALMI,61219.0,-18442.0,-30,4942,13,13,CCI_20,LAYER_3,Fraksi_2
43,ALMI,61219.0,-12481.0,-20,2081,6,6,SO_14,LAYER_3,Fraksi_2
44,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14,LAYER_3,Fraksi_1
45,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20,LAYER_3,Fraksi_1
46,ADMG,34323.0,-15651.0,-45,2151,9,9,CCI_20,LAYER_3,Fraksi_1
47,ADMG,34523.0,-13829.0,-40,498,3,2,SO_14,LAYER_3,Fraksi_1
52,INOV,37735.0,3077.0,8,323,1,1,MFII_14,LAYER_3,Fraksi_1
53,INOV,37534.0,6554.0,17,1792,6,5,BB_MAVG_20,LAYER_3,Fraksi_1
54,INOV,37534.0,5308.0,14,1436,5,4,CCI_20,LAYER_3,Fraksi_1
55,INOV,37534.0,10807.0,28,1137,4,3,SO_14,LAYER_3,Fraksi_1
80,BEST,24889.0,2784.0,11,307,2,1,MFII_14,LAYER_3,Fraksi_1
81,BEST,25290.0,-4175.0,-16,2975,13,13,BB_MAVG_20,LAYER_3,Fraksi_1
82,BEST,25290.0,-5424.0,-21,2424,11,11,CCI_20,LAYER_3,Fraksi_1
83,BEST,24086.0,-6298.0,-26,1098,5,5,SO_14,LAYER_3,Fraksi_1
240,ALMI,52187.0,-18930.0,-36,730,2,2,MFII_14_AND_BB_MAVG_20,LAYER_3,Fraksi_2
241,ALMI,61219.0,-22413.0,-36,6113,17,17,MFII_14_OR_BB_MAVG_20,LAYER_3,Fraksi_2
242,ALMI,52187.0,-22911.0,-43,711,2,2,MFII_14_AND_CCI_20,LAYER_3,Fraksi_2
243,ALMI,61219.0,-17448.0,-28,5748,16,16,MFII_14_OR_CCI_20,LAYER_3,Fraksi_2
244,ALMI,52187.0,-21329.0,-40,329,1,1,MFII_14_AND_SO_14,LAYER_3,Fraksi_2
245,ALMI,61219.0,-17448.0,-28,5748,16,16,MFII_14_OR_CCI_20,LAYER_3,Fraksi_2
246,ALMI,61219.0,-19835.0,-32,4535,12,12,BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_2
247,ALMI,61219.0,-15321.0,-25,6421,17,17,BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_2
248,ALMI,61219.0,-22044.0,-36,1444,4,4,BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_2
249,ALMI,61219.0,-15055.0,-24,6555,18,18,BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_2
250,ALMI,61219.0,-20238.0,-33,1438,4,4,CCI_20_AND_SO_14,LAYER_3,Fraksi_2
251,ALMI,61219.0,-15156.0,-24,5456,15,15,CCI_20_OR_SO_14,LAYER_3,Fraksi_2
252,ADMG,32315.0,-7828.0,-24,313,2,1,MFII_14_AND_BB_MAVG_20,LAYER_3,Fraksi_1
253,ADMG,34323.0,-14851.0,-43,1917,9,8,MFII_14_OR_BB_MAVG_20,LAYER_3,Fraksi_1
254,ADMG,31312.0,-6825.0,-21,310,2,1,MFII_14_AND_CCI_20,LAYER_3,Fraksi_1
255,ADMG,34323.0,-15903.0,-46,2303,10,10,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
256,ADMG,31111.0,-2841.0,-9,326,2,1,MFII_14_AND_SO_14,LAYER_3,Fraksi_1
257,ADMG,34323.0,-15903.0,-46,2303,10,10,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
258,ADMG,34323.0,-15755.0,-45,1355,6,6,BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
259,ADMG,34323.0,-15170.0,-44,3136,14,13,BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
260,ADMG,34523.0,-13829.0,-40,498,3,2,BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
261,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
262,ADMG,34523.0,-11639.0,-33,508,3,2,CCI_20_AND_SO_14,LAYER_3,Fraksi_1
263,ADMG,34323.0,-15651.0,-45,2151,9,9,CCI_20_OR_SO_14,LAYER_3,Fraksi_1
276,INOV,37735.0,0.0,0,135,1,0,MFII_14_AND_BB_MAVG_20,LAYER_3,Fraksi_1
277,INOV,37534.0,8628.0,22,2118,7,6,MFII_14_OR_BB_MAVG_20,LAYER_3,Fraksi_1
278,INOV,37735.0,3077.0,8,323,1,1,MFII_14_AND_CCI_20,LAYER_3,Fraksi_1
279,INOV,37534.0,5308.0,14,1436,5,4,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
280,INOV,37735.0,3077.0,8,323,1,1,MFII_14_AND_SO_14,LAYER_3,Fraksi_1
281,INOV,37534.0,5308.0,14,1436,5,4,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
282,INOV,37534.0,6104.0,16,1440,5,4,BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
283,INOV,37534.0,4162.0,11,3782,12,11,BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
284,INOV,37534.0,8325.0,22,819,3,2,BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
