,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-04-11,61000.0,219,61219.0,0.0,BUY,714.75,797.6037868778477,631.8962131221523
1,2019-05-29,50000.0,230,61219.0,-11449.0,SELL,469.5,499.6695210435973,439.3304789564027
2,2019-06-12,47400.0,170,47570.0,0.0,BUY,486.4,515.837391188759,456.9626088112409
3,2019-06-14,49000.0,225,47570.0,1205.0,SELL,486.4,518.4399750312017,454.3600249687982
4,2019-06-17,48600.0,174,48774.0,0.0,BUY,487.1,518.4553823130899,455.74461768691015
5,2019-07-03,48800.0,224,48774.0,-198.0,SELL,479.6,505.93932421304777,453.2606757869523
6,2019-07-12,48200.0,173,48373.0,0.0,BUY,481.9,504.4024443116751,459.39755568832487
7,2019-07-16,49400.0,227,48373.0,800.0,SELL,483.5,506.3691932520594,460.6308067479406
8,2019-07-18,49400.0,177,49577.0,0.0,BUY,485.9,507.60622030663177,464.1937796933682
9,2019-07-19,49400.0,227,49577.0,-404.0,SELL,487.1,507.78719410650064,466.4128058934994
10,2019-07-22,49400.0,177,49577.0,0.0,BUY,488.3,507.61942028115834,468.9805797188417
11,2019-07-23,49400.0,227,49577.0,-404.0,SELL,489.5,507.0214154679361,471.9785845320639
12,2019-07-24,49200.0,177,49377.0,0.0,BUY,490.6,505.6784614599776,475.52153854002245
13,2019-08-01,50500.0,232,49377.0,891.0,SELL,494.7,505.6562767398429,483.7437232601571
14,2019-08-02,46800.0,168,46968.0,0.0,BUY,493.1,508.808596372688,477.39140362731206
15,2019-08-15,49600.0,228,46968.0,2404.0,SELL,489.0,506.308957218736,471.691042781264
16,2019-08-21,48800.0,175,48975.0,0.0,BUY,489.1,506.7737092880933,471.42629071190674
17,2019-08-23,49400.0,227,48975.0,198.0,SELL,488.5,506.85755975068673,470.14244024931327
18,2019-08-28,45800.0,164,45964.0,0.0,BUY,486.65,508.2488425615827,465.05115743841725
19,2019-09-09,48400.0,222,45964.0,2214.0,SELL,482.9,508.0547212268401,457.74527877315984
20,2019-09-10,47600.0,171,47771.0,0.0,BUY,482.6,507.9329824537113,457.26701754628874
21,2019-10-21,36000.0,165,47771.0,-11936.0,SELL,353.7,385.5565534859035,321.84344651409646
22,2019-10-24,34200.0,123,34323.0,0.0,BUY,352.6,382.80198668962413,322.3980133103759
23,2019-10-28,36000.0,165,34323.0,1512.0,SELL,352.0,381.3393933134316,322.6606066865684
24,2019-10-31,37600.0,135,37735.0,0.0,BUY,352.4,382.668135059832,322.13186494016793
25,2019-11-01,35400.0,162,37735.0,-2497.0,SELL,352.2,382.37018395701676,322.0298160429832
26,2019-11-04,34600.0,124,34724.0,0.0,BUY,352.4,382.3492904757397,322.4507095242603
27,2019-12-19,31200.0,143,34724.0,-3667.0,SELL,295.1,334.5659346779012,255.63406532209882
