,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-28,101500.0,365,101865.0,0.0, ,BUY,BUY,51.33501693004194,1020.25,1098.126504800869,942.373495199131,-20.5804749340367
1,2019-03-01,105500.0,485,101865.0,3150.0, , ,SELL,58.32869686046678,1025.0,1099.0945342113694,950.9054657886306,22.73161413562577
2,2019-03-08,99000.0,356,99356.0,0.0, ,BUY,BUY,51.64185529002416,1023.25,1091.899471957181,954.6005280428191,-66.78959229666043
3,2019-06-03,72500.0,333,99356.0,-27189.0, ,SELL,SELL,67.43635867888912,720.75,768.7369774001244,672.7630225998756,7.786762503743502
4,2019-08-05,86000.0,309,86309.0,0.0, ,BUY,BUY,60.116804016335756,901.0,984.6420946653052,817.3579053346948,-59.97144217039505
5,2019-08-07,100500.0,462,86309.0,13729.0, ,SELL,SELL,64.3767293893703,916.0,994.0768851837718,837.9231148162282,161.301671064204
6,2019-09-13,107000.0,385,107385.0,0.0, ,BUY,BUY,58.2284089515084,1080.25,1160.5292002949686,999.9707997050315,-1.6792611251048013
7,2019-10-11,101500.0,466,107385.0,-6351.0, , ,SELL,48.135457408764026,1001.0,1088.4985714169084,913.5014285830915,6.754772393538979
8,2019-10-15,98500.0,354,98854.0,0.0, ,BUY,BUY,52.10491157090879,995.25,1076.5811133576804,913.9188866423196,-23.89306599832907
9,2019-10-24,97500.0,448,98854.0,-1802.0, , ,SELL,46.569381382522124,963.5,1016.1402887530065,910.8597112469935,8.264462809917356
10,2019-10-28,91500.0,329,91829.0,0.0, ,BUY,BUY,40.465289590901385,958.75,1013.5108436750194,903.9891563249806,-123.97163120567363
11,2019-12-06,81000.0,372,91829.0,-11201.0, , ,SELL,56.33631699482282,804.25,852.3410594601553,756.1589405398447,2.05489505357378
