,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-28,378000.0,1360,379360.0,0.0,BUY,BUY,BUY,3857.0,4067.3425777154976,3646.6574222845024,-39.62879357913207,15.625
1,2019-02-11,393000.0,1807,379360.0,11833.0, ,SELL,SELL,3896.5,4049.1138918971665,3743.8861081028335,19.124891335844644,80.0
2,2019-02-12,382000.0,1375,383375.0,0.0,BUY,BUY, ,3891.0,4046.2932709424335,3735.7067290575665,-53.35595776772229,42.857142857142854
3,2019-02-18,390000.0,1794,383375.0,4831.0, ,SELL,SELL,3850.5,3973.3779882647823,3727.6220117352177,47.61904761904787,80.95238095238095
4,2019-02-22,384000.0,1382,385382.0,0.0,BUY,BUY, ,3842.5,3944.259520439122,3740.740479560878,-2.764976958525347,52.38095238095238
5,2019-02-25,391000.0,1798,385382.0,3820.0,SELL,SELL,SELL,3849.0,3950.567711404757,3747.432288595243,81.4367549156217,85.71428571428571
6,2019-03-05,387000.0,1393,388393.0,0.0,BUY,BUY, ,3864.0,3962.8736567544665,3765.1263432455335,-6.361962163066823,66.66666666666667
7,2019-03-26,382000.0,1757,388393.0,-8150.0, , ,SELL,3805.5,3911.419780966541,3699.580219033459,-1.3201320132015513,100.0
8,2019-04-12,383000.0,1378,384378.0,0.0,BUY,BUY,BUY,3882.5,4050.6517172080025,3714.3482827919975,-38.67569601203926,16.129032258064516
9,2019-05-08,390000.0,1794,384378.0,3828.0,SELL,SELL,SELL,3847.5,3919.57634840917,3775.42365159083,115.73823688480142,90.0
10,2019-05-09,380000.0,1368,381368.0,0.0,BUY,BUY, ,3843.0,3915.138755187486,3770.861244812514,-15.587529976019159,40.0
11,2019-05-27,382000.0,1757,381368.0,-1125.0,SELL,SELL, ,3736.5,3964.0324152730773,3508.9675847269227,43.89815627743634,77.27272727272727
12,2019-05-28,369000.0,1328,370328.0,0.0,BUY,BUY, ,3731.5,3958.5044052435987,3504.4955947564013,-0.24084778420049482,50.0
13,2019-05-29,378000.0,1738,370328.0,5934.0, ,SELL,SELL,3731.0,3957.5303511673437,3504.4696488326563,33.98028901384582,83.33333333333333
14,2019-07-24,419000.0,1508,420508.0,0.0,BUY,BUY,BUY,4239.5,4349.31347822558,4129.68652177442,-64.71306471306417,14.285714285714286
15,2019-07-30,427000.0,1964,420508.0,4528.0,SELL,SELL,SELL,4246.5,4331.652803829352,4161.347196170648,78.45303867403295,84.21052631578948
16,2019-08-05,408000.0,1468,409468.0,0.0,BUY, ,BUY,4241.5,4357.133040260991,4125.866959739009,-212.38938053097326,8.333333333333334
17,2019-08-08,426000.0,1959,409468.0,14573.0,SELL,SELL,SELL,4226.0,4336.34491379307,4115.65508620693,63.06306306306251,84.0
18,2019-09-04,429000.0,1544,430544.0,0.0,BUY,BUY, ,4345.0,4482.62267255071,4207.37732744929,-40.29304029304064,25.0
19,2019-09-26,436000.0,2005,430544.0,3451.0, ,SELL,SELL,4271.5,4419.049991528295,4123.950008471705,44.83925549915493,95.45454545454545
20,2019-10-02,420000.0,1512,421512.0,0.0,BUY,BUY, ,4250.0,4350.598210719674,4149.401789280326,-49.15058551871949,20.0
21,2019-10-22,423000.0,1945,421512.0,-457.0,SELL,SELL,SELL,4198.0,4333.735036007657,4062.2649639923425,34.08360128617365,89.47368421052632
22,2019-10-31,411000.0,1479,412479.0,0.0,BUY,BUY,BUY,4198.5,4343.727407881571,4053.2725921184297,-66.08416189615316,10.714285714285714
23,2019-12-05,406000.0,1867,412479.0,-8346.0, ,SELL,SELL,4010.5,4201.022964495098,3819.9770355049027,35.97290352721324,89.65517241379311
24,2019-12-12,395000.0,1422,396422.0,0.0,BUY,BUY, ,3991.5,4149.141999479834,3833.8580005201657,-7.407407407407237,48.38709677419355
25,2019-12-23,402000.0,1849,396422.0,3729.0,SELL,SELL, ,3974.5,4119.2031444026015,3829.7968555973985,50.43859649122829,57.142857142857146
26,2019-12-30,397000.0,1429,398429.0,0.0,BUY,BUY, ,3994.5,4096.180873324338,3892.8191266756617,-1.2894906511933657,33.333333333333336
