,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-24,138000.0,496,138496.0,0.0, , , ,BUY,67.70455349338766,,,,,13.333333333333334
1,2019-01-28,139000.0,639,138496.0,-135.0, , ,SELL, ,66.81333831686266,1388.25,1540.1800826038082,1236.3199173961918,16.161616161616323,14.285714285714286
2,2019-01-29,134000.0,482,134482.0,0.0, ,BUY,BUY,BUY,58.86912060466716,1394.5,1526.3673575984594,1262.6326424015406,-57.66840666169495,2.857142857142857
3,2019-02-21,141500.0,650,134482.0,6368.0, ,SELL,SELL,SELL,56.40902782720591,1326.5,1441.8299614150637,1211.1700385849363,81.18925100057152,97.5609756097561
4,2019-03-01,131000.0,471,131471.0,0.0, ,BUY,BUY, ,60.63300306357125,1322.5,1438.1935607542619,1206.8064392457381,-7.850029291153964,38.775510204081634
5,2019-03-04,141000.0,648,131471.0,8881.0, , ,SELL, ,69.83924546495936,1325.0,1445.8718329471349,1204.1281670528651,78.14113597246127,79.59183673469387
6,2019-03-25,134500.0,484,134984.0,0.0, ,BUY,BUY,BUY,55.52417553117198,1395.75,1483.001074491951,1308.498925508049,-77.94925451216324,6.896551724137931
7,2019-04-24,130500.0,600,134984.0,-5084.0, , ,SELL, ,54.36936193062535,1301.5,1350.6019347887652,1252.3980652112348,10.135687428478597,68.75
8,2019-04-25,129000.0,464,129464.0,0.0, ,BUY,BUY, ,56.38263082008169,1299.0,1345.0000000000016,1252.9999999999984,-36.23188405797172,50.0
9,2019-04-29,131500.0,604,129464.0,1432.0, , ,SELL, ,56.956277451716126,1294.75,1330.1724505081193,1259.3275494918807,40.40404040404074,78.57142857142857
10,2019-05-08,129500.0,466,129966.0,0.0, ,BUY,BUY, ,58.91035014119933,1303.25,1335.386427928445,1271.113572071555,-30.724637681159862,35.0
11,2019-05-23,128000.0,588,129966.0,-2554.0, , ,SELL, ,42.366940485355876,1267.0,1371.3743263451324,1162.6256736548676,2.4203307785397343,70.58823529411765
12,2019-06-14,123500.0,444,123944.0,0.0, ,BUY,BUY,BUY,57.67846138465889,1269.5,1328.2281874401058,1210.7718125598942,-61.24852767962353,5.882352941176471
13,2019-06-25,133000.0,611,123944.0,8445.0, , ,SELL,SELL,44.48248254425935,1274.0,1326.4022900262976,1221.5977099737024,92.50398724082949,95.83333333333333
14,2019-07-12,128000.0,460,128460.0,0.0, ,BUY,BUY, ,69.31296154820902,1330.5,1468.5181147531007,1192.4818852468993,-38.885719718577825,20.833333333333332
15,2019-08-26,112000.0,515,128460.0,-16975.0, , , ,SELL,73.02282046028058,1101.5,1259.2371230877516,943.7628769122483,-9.132420091324281,81.48148148148148
16,2019-09-24,129500.0,466,129966.0,0.0, ,BUY,BUY, ,65.02634947961411,1315.75,1555.7140598089643,1075.7859401910357,-1.4222503160557693,28.30188679245283
17,2019-10-15,133000.0,611,129966.0,2423.0, , ,SELL,SELL,58.52382152772759,1307.25,1396.942530346736,1217.557469653264,8.840864440078128,87.5
18,2019-10-30,130500.0,469,130969.0,0.0, ,BUY,BUY, ,67.15033711907792,1313.75,1391.7804427771632,1235.7195572228368,-0.8658008658010227,30.434782608695652
19,2019-11-05,137000.0,630,130969.0,5401.0, , ,SELL,SELL,56.14062693851907,1322.0,1393.8609768928877,1250.1390231071123,53.65853658536582,88.88888888888889
20,2019-11-14,130000.0,468,130468.0,0.0, ,BUY,BUY, ,48.507503710244,1351.0,1438.2123844416612,1263.7876155583388,-86.56330749353992,26.31578947368421
21,2019-12-04,136000.0,625,130468.0,4907.0, , ,SELL, ,63.57017464566173,1330.75,1429.3032850796976,1232.1967149203024,35.82853486884162,78.94736842105263
