,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-29,902500.0,3249,905749.0,0.0, ,BUY, ,50.99553043214126,9005.0,9389.577690460588,8620.422309539412,37.5
1,2019-02-01,925000.0,4255,905749.0,14996.0, ,SELL, ,60.349863619525046,9062.5,9379.714438511239,8745.285561488761,72.72727272727273
2,2019-02-07,907500.0,3267,910767.0,0.0, ,BUY, ,45.224314898868,9110.0,9361.19713374161,8858.80286625839,36.8421052631579
3,2019-03-15,907500.0,4174,910767.0,-7441.0, ,SELL,SELL,49.481693816758806,8823.75,9055.307228347552,8592.192771652448,91.66666666666667
4,2019-04-23,980000.0,3528,983528.0,0.0, ,BUY, ,72.21537530434833,9618.75,9914.078207254235,9323.421792745765,45.45454545454545
5,2019-04-24,980000.0,4508,983528.0,-8036.0, ,SELL, ,70.21598028318148,9641.25,9919.31249297595,9363.18750702405,45.45454545454545
6,2019-04-25,960000.0,3456,963456.0,0.0, ,BUY, ,58.814752209675895,9650.0,9910.768096208107,9389.231903791893,21.21212121212121
7,2019-05-27,870000.0,4002,963456.0,-97458.0, , ,SELL,48.99744223365072,8712.5,9586.356395525032,7838.643604474968,85.36585365853658
8,2019-05-28,815000.0,2934,817934.0,0.0, ,BUY, ,39.42009607822797,8640.0,9445.20183805056,7834.798161949439,32.5
9,2019-06-05,840000.0,3864,817934.0,18202.0, ,SELL, ,54.17926134722602,8392.5,8754.12826216987,8030.871737830129,57.5
10,2019-06-14,850000.0,3060,853060.0,0.0, ,BUY, ,43.051184518188585,8451.25,8787.952762091434,8114.547237908566,67.85714285714286
11,2019-06-18,872500.0,4013,853060.0,15427.0, , ,SELL,76.44489472756254,8458.75,8810.2734700557,8107.2265299443,95.83333333333333
12,2019-07-16,907500.0,3267,910767.0,0.0, ,BUY, ,59.306757330698275,9086.25,9490.439002819227,8682.060997180773,34.78260869565217
13,2019-09-10,775000.0,3565,910767.0,-139332.0, , ,SELL,44.41736923743578,7665.0,8028.799395271626,7301.200604728374,94.44444444444444
14,2019-09-16,767500.0,2763,770263.0,0.0, ,BUY, ,58.461169298519586,7638.75,7924.439954321116,7353.060045678884,43.75
15,2019-09-18,790000.0,3634,770263.0,16103.0, ,SELL, ,65.87793069154748,7655.0,7960.614135798724,7349.385864201276,71.875
16,2019-09-20,765000.0,2754,767754.0,0.0, ,BUY, ,53.30224646090068,7665.0,7973.382878902187,7356.617121097813,40.625
17,2019-10-17,737500.0,3392,767754.0,-33646.0, ,SELL,SELL,60.56806956676412,7156.25,7772.463234197385,6540.036765802615,96.66666666666667
18,2019-11-06,750000.0,2700,752700.0,0.0, ,BUY, ,52.589670470839955,7466.25,8095.192564945322,6837.307435054678,34.285714285714285
19,2019-11-21,770000.0,3542,752700.0,13758.0, , ,SELL,47.83797050638264,7608.75,7885.008484032619,7332.491515967381,84.0
20,2019-11-25,750000.0,2700,752700.0,0.0, ,BUY, ,40.818246205616816,7586.25,7835.486333627344,7337.013666372656,54.166666666666664
21,2019-12-09,757500.0,3484,752700.0,1316.0, ,SELL, ,53.68335600736835,7511.25,7715.256740084735,7307.243259915265,62.5
22,2019-12-12,752500.0,2709,755209.0,0.0, ,BUY, ,48.14457524741227,7531.25,7692.398223694835,7370.101776305165,53.333333333333336
23,2019-12-13,765000.0,3519,755209.0,6272.0, ,SELL,SELL,55.334822200707166,7541.25,7705.775833837731,7376.724166162269,86.66666666666667
