,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-22,81000.0,291,81291.0,0.0, ,BUY,BUY, ,62.964253778073996,817.5,865.5104155366313,769.4895844633687,-11.673765578167052,47.61904761904762
1,2019-03-12,80500.0,370,81291.0,-1161.0, , ,SELL, ,40.39541334734754,803.75,848.0077676798096,759.4922323201904,23.71794871794901,70.58823529411765
2,2019-03-13,80000.0,288,80288.0,0.0, ,BUY,BUY, ,43.85986856330917,803.5,847.7831796509691,759.2168203490309,-7.112835434853045,68.75
3,2019-03-14,83000.0,381,80288.0,2331.0, , ,SELL,SELL,54.54813509117259,802.25,841.806921012637,762.693078987363,89.56228956228983,85.0
4,2019-03-20,80000.0,288,80288.0,0.0, ,BUY,BUY, ,58.44790292453235,797.0,825.0,769.0,-25.43859649122829,40.0
5,2019-03-21,80000.0,368,80288.0,-656.0, , ,SELL, ,57.10488055915085,796.5,823.9043792120895,769.0956207879105,23.14814814814796,40.0
6,2019-03-22,80000.0,288,80288.0,0.0, ,BUY,BUY, ,45.45460602848925,796.0,822.7581763205194,769.2418236794806,-6.787273893827832e-13,40.0
7,2019-04-30,77500.0,356,80288.0,-3144.0, ,SELL,SELL,SELL,50.449382803003246,738.0,784.303347611161,691.696652388839,83.29850954171913,94.44444444444444
8,2019-05-06,73000.0,262,73262.0,0.0, ,BUY,BUY, ,49.86578147467885,735.75,779.1406671992954,692.3593328007046,-21.65354330708704,36.36363636363637
9,2019-05-30,70500.0,324,73262.0,-3086.0, ,SELL,SELL, ,41.17859407168544,704.25,752.0281330736144,656.4718669263856,1.111111111110859,64.28571428571429
10,2019-06-21,72000.0,259,72259.0,0.0, ,BUY,BUY, ,63.72325949267064,712.75,750.3631625897106,675.1368374102894,-4.672897196261663,53.333333333333336
11,2019-06-24,72500.0,333,72259.0,-92.0, , ,SELL, ,64.79673313528579,715.25,748.9360505254031,681.5639494745969,46.94167852062641,60.0
12,2019-06-26,71000.0,255,71255.0,0.0, ,BUY,BUY, ,58.5317722044133,719.75,735.0715534460447,704.4284465539553,-90.82125603864688,40.0
13,2019-07-03,72000.0,331,71255.0,414.0, , ,SELL, ,53.702826537689624,719.75,735.0715534460447,704.4284465539553,2.2002200220017074,57.142857142857146
14,2019-07-18,75000.0,270,75270.0,0.0, ,BUY,BUY, ,62.29473612136534,749.75,818.6321457273218,680.8678542726782,-3.0384271671134133,42.30769230769231
15,2019-07-19,78500.0,361,75270.0,2869.0, , ,SELL, ,67.58438204660499,753.0,822.0941386804989,683.9058613195011,48.40182648401811,68.0
16,2019-07-30,76000.0,273,76273.0,0.0, ,BUY,BUY, ,37.49765018360432,771.0,812.904653679514,729.095346320486,-2.123142250530593,29.41176470588235
17,2019-08-13,74000.0,340,76273.0,-2613.0, , ,SELL, ,46.19548678025648,742.25,801.6196050180562,682.8803949819438,2.17627856365615,60.714285714285715
18,2019-08-15,75000.0,270,75270.0,0.0, ,BUY,BUY, ,49.60905446700509,742.0,801.2790013411158,682.7209986588842,-10.86956521739131,67.85714285714286
19,2019-08-16,76000.0,349,75270.0,381.0, ,SELL,SELL, ,52.17626248984296,740.75,797.3428440706067,684.1571559293933,41.324371421458906,75.0
20,2019-08-20,71000.0,255,71255.0,0.0, ,BUY,BUY, ,33.14424501443949,736.75,792.6315712019625,680.8684287980375,-63.455947414991634,45.833333333333336
21,2019-08-21,74500.0,342,71255.0,2903.0, , , ,SELL,44.75672218236174,736.0,791.0090901579003,680.9909098420997,-3.179650238473769,81.81818181818181
22,2019-08-23,72500.0,261,72761.0,0.0, ,BUY,BUY, ,54.964232587321526,731.5,781.4099188538712,681.5900811461288,-8.928571428571829,58.333333333333336
23,2019-08-29,72000.0,331,72761.0,-1092.0, , ,SELL, ,55.724874786751876,722.25,767.2472221364832,677.2527778635168,24.78551000953245,36.8421052631579
24,2019-08-30,70500.0,253,70753.0,0.0, ,BUY,BUY, ,50.06567404331577,722.0,767.3210767744987,676.6789232255013,-41.89772027110306,21.05263157894737
25,2019-10-11,64500.0,296,70753.0,-6549.0, , ,SELL, ,43.33010908493738,640.75,673.8067693521313,607.6932306478687,1.6220600162207852,69.23076923076923
26,2019-11-04,64000.0,230,64230.0,0.0, ,BUY,BUY,BUY,48.26086191892689,651.75,672.0662496539102,631.4337503460898,-54.88621151271784,7.6923076923076925
27,2019-11-12,66000.0,303,64230.0,1467.0, , ,SELL, ,59.17451914422776,652.0,674.6715680975093,629.3284319024907,37.03703703703676,50.0
