,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-02-08,897500.0,3231,900731.0,0.0,BUY,BUY,-91.74311926605394,17.647058823529413
1,2019-03-15,907500.0,4174,900731.0,2595.0,SELL,SELL,194.75655430711763,91.66666666666667
2,2019-04-29,962500.0,3465,965965.0,0.0,BUY,BUY,-29.60102960102999,16.666666666666668
3,2019-05-27,870000.0,4002,965965.0,-99967.0,SELL,SELL,1.193317422434368,85.36585365853658
4,2019-07-18,887500.0,3195,890695.0,0.0,BUY,BUY,-82.21313072277451,4.166666666666667
5,2019-09-10,775000.0,3565,890695.0,-119260.0,SELL,SELL,13.473930872876414,94.44444444444444
6,2019-09-24,745000.0,2682,747682.0,0.0,BUY,BUY,-103.15837309702353,6.896551724137931
7,2019-10-17,737500.0,3392,747682.0,-13574.0,SELL,SELL,41.9076610857432,96.66666666666667
8,2019-11-13,735000.0,2646,737646.0,0.0,BUY,BUY,-77.97979797979828,10.714285714285714
9,2019-11-21,770000.0,3542,737646.0,28812.0,SELL,SELL,29.46732149603324,84.0
