,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-12,1045000.0,3762,1048762.0,0.0, ,BUY,BUY,48.44762102084947,10532.5,11032.524999375031,10032.475000624969,-11.695906432748108
1,2019-03-15,1042500.0,4795,1048762.0,-11057.0, ,SELL,SELL,58.3060114319407,10352.5,10548.650452459331,10156.349547540669,73.24364723467957
2,2019-03-29,932500.0,3357,935857.0,0.0, ,BUY,BUY,24.95238303895428,10076.25,10938.29335737827,9214.20664262173,-150.5685218432074
3,2019-04-24,920000.0,4232,935857.0,-20089.0, ,SELL,SELL,69.48713425644877,9123.75,9332.601023459309,8914.898976540691,69.20903954802199
4,2019-05-17,930000.0,3348,933348.0,0.0, ,BUY,BUY,46.82695838909021,9492.5,9980.89021284215,9004.10978715785,-38.42536611581327
5,2019-05-27,977500.0,4496,933348.0,39656.0, ,SELL,SELL,44.24619527622506,9628.75,9884.813956854534,9372.686043145466,96.37867122897003
6,2019-07-08,1002500.0,3609,1006109.0,0.0, ,BUY,BUY,69.77779817180479,10061.25,10245.284643477798,9877.215356522202,-2.9239766081871252
7,2019-07-12,1027500.0,4726,1006109.0,16665.0,SELL,SELL, ,82.29042180951792,10093.75,10265.41464400103,9922.08535599897,257.43589743589655
8,2019-09-13,1160000.0,4176,1164176.0,0.0, ,BUY,BUY,65.87399958404863,11871.25,12148.86258977215,11593.63741022785,-151.9519519519508
9,2019-10-07,1227500.0,5646,1164176.0,57678.0, ,SELL,SELL,36.851372011388925,11963.75,12284.481585597678,11643.018414402322,187.35719725818794
10,2019-10-10,1145000.0,4122,1149122.0,0.0, ,BUY,BUY,39.86537731640542,11961.25,12400.418247941492,11522.081752058508,-167.53022452504212
11,2019-12-02,1140000.0,5244,1149122.0,-14366.0, ,SELL,SELL,31.185566955483353,11342.5,11625.386903196313,11059.613096803687,58.64811133200704
12,2019-12-04,1110000.0,3996,1113996.0,0.0, ,BUY,BUY,33.453187721653094,11346.25,11638.77136674096,11053.72863325904,-124.62060346366694
13,2019-12-11,1145000.0,5267,1113996.0,25737.0, ,SELL,SELL,52.471619952789325,11372.5,11524.897506541281,11220.102493458719,135.46423135464255
14,2019-12-16,1135000.0,4086,1139086.0,0.0, ,BUY,BUY,54.521019743379064,11371.25,11526.391064841002,11216.108935158998,-18.678160919538083
