,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-04-25,49400.0,177,49577.0,0.0, ,BUY,BUY,BUY,59.27323092260693,506.2,516.3705457080741,496.0294542919258,-189.63101354507225,13.333333333333334
1,2019-06-14,51000.0,234,49577.0,1189.0, ,SELL,SELL,SELL,4.346685372995154,506.45,517.0608435102977,495.83915648970236,113.38263012904227,90.9090909090909
2,2019-06-17,51500.0,185,51685.0,0.0,BUY, , , ,4.269023648829858,507.2,518.0000000000013,496.3999999999987,151.2605042016805,100.0
3,2019-06-20,52500.0,241,51685.0,574.0, ,SELL,SELL,SELL,4.109751874150902,508.8,521.9696621065247,495.6303378934753,197.54977029096406,100.0
4,2019-06-21,52500.0,189,52689.0,0.0,BUY, , , ,11.129679642984954,510.05,524.3395066394902,495.76049336050977,246.5192465192458,86.66666666666667
5,2019-06-25,52000.0,239,52689.0,-928.0, ,SELL,SELL,SELL,10.427199384400765,511.5,525.3202749610866,497.6797250389133,115.90909090909074,80.0
6,2019-06-26,52500.0,189,52689.0,0.0,BUY, , , ,11.113858705760393,512.25,527.2416643505663,497.25833564943366,115.93458344036218,86.66666666666667
7,2019-07-26,53500.0,246,52689.0,565.0,SELL,SELL, ,SELL,80.61864566760988,509.2,529.335540717846,489.0644592821539,218.72265966754208,100.0
8,2019-08-27,54500.0,196,54696.0,0.0,BUY,BUY,BUY, ,9.529396430426289,545.5,558.8790881602633,532.1209118397367,-40.0432900432889,75.0
9,2019-10-17,52000.0,239,54696.0,-2935.0,SELL, ,SELL, ,83.9573048269649,510.05,524.6304663848605,495.4695336151396,160.17009213323894,72.22222222222223
10,2019-10-31,49800.0,179,49979.0,0.0, ,BUY,BUY,BUY,32.91335888536682,512.3,527.6766056072219,496.92339439277805,-154.57685664939504,0.0
