,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-12,25200.0,90,25290.0,0.0,BUY,BUY, ,260.5,278.4722007556113,242.5277992443887,-64.90929705215447,33.333333333333336
1,2019-02-22,26600.0,122,25290.0,1188.0,SELL,SELL, ,259.4,273.60422472365155,245.19577527634837,57.20695457094742,72.22222222222223
2,2019-02-25,24000.0,86,24086.0,0.0,BUY,BUY,BUY,258.4,274.92150114245055,241.87849885754943,-101.41843971631232,0.0
3,2019-03-28,24800.0,114,24086.0,600.0,SELL,SELL, ,244.5,254.12288937897458,234.87711062102542,65.35947712418255,66.66666666666667
4,2019-03-29,24000.0,86,24086.0,0.0,BUY,BUY, ,244.0,253.4657276529584,234.5342723470416,-31.68044077134921,33.333333333333336
5,2019-04-01,25800.0,118,24086.0,1596.0, ,SELL,SELL,244.4,255.3981816678932,233.4018183321068,166.66666666666632,86.66666666666667
6,2019-04-12,27600.0,99,27699.0,0.0,BUY, , ,262.4,300.3810479055014,224.41895209449856,33.941722702529574,61.29032258064516
7,2019-04-15,28000.0,128,27699.0,173.0,SELL,SELL, ,263.9,302.1721831099298,225.6278168900702,67.4228103339634,66.66666666666667
8,2019-04-29,29000.0,104,29104.0,0.0,BUY, , ,289.6,314.17966639318,265.02033360682003,46.898002103049784,50.0
9,2019-05-01,29600.0,136,29104.0,360.0,SELL,SELL, ,291.2,315.1466072753537,267.2533927246463,35.46592489568858,60.0
10,2019-05-02,29600.0,106,29706.0,0.0,BUY, , ,291.9,315.5465642324635,268.2534357675365,22.444197804908303,52.0
11,2019-06-06,24400.0,112,29706.0,-5418.0,SELL, , ,243.8,257.4762567978222,230.12374320217785,-0.9350163627866934,61.53846153846154
12,2019-07-17,32200.0,115,32315.0,0.0,BUY, , ,310.9,339.3387060183827,282.46129398161725,43.71584699453582,61.904761904761905
13,2019-07-18,32400.0,149,32315.0,-64.0,SELL,SELL, ,312.9,339.02202136129586,286.7779786387041,66.5701881331404,66.66666666666667
14,2019-07-22,30600.0,110,30710.0,0.0,BUY,BUY,BUY,315.4,334.7121723273172,296.08782767268275,-36.187563710499205,5.882352941176471
15,2019-08-19,31800.0,146,30710.0,944.0,SELL,SELL,SELL,306.7,330.6424309542702,282.7575690457298,77.39665787159198,85.71428571428571
16,2019-08-21,30800.0,110,30910.0,0.0,BUY, , ,307.2,331.3130669969624,283.0869330030376,20.15113350125938,73.07692307692308
17,2019-08-22,31800.0,146,30910.0,744.0, ,SELL,SELL,306.8,329.8963200532032,283.7036799467968,48.46526655896609,92.3076923076923
18,2019-08-26,30200.0,108,30308.0,0.0,BUY,BUY, ,305.5,326.81196846844506,284.18803153155494,-1.6374269005849018,42.857142857142854
19,2019-08-29,31000.0,142,30308.0,550.0,SELL,SELL, ,304.3,323.0733854165943,285.5266145834057,52.738336713995906,61.904761904761905
20,2019-09-02,30800.0,110,30910.0,0.0,BUY, , ,305.4,323.24824921385834,287.5517507861416,42.01680672268912,55.0
21,2019-10-18,26800.0,123,30910.0,-4233.0, ,SELL,SELL,257.1,283.12998271224876,231.07001728775128,42.276422764227625,89.47368421052632
22,2019-10-28,25600.0,92,25692.0,0.0,BUY, , ,255.9,278.85996515676726,232.94003484323275,11.64483260553146,42.30769230769231
23,2019-10-30,26600.0,122,25692.0,786.0,SELL,SELL, ,257.2,279.8415547169351,234.55844528306486,50.29585798816576,50.0
24,2019-10-31,25400.0,91,25491.0,0.0,BUY, ,BUY,257.4,279.85350752109713,234.9464924789028,7.03949941337531,15.789473684210526
25,2019-12-13,21200.0,97,25491.0,-4388.0, ,SELL,SELL,204.45,221.17692440348853,187.72307559651145,31.363088057900814,81.81818181818181
