,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-02-12,96000.0,345,96345.0,0.0,BUY, ,939.0
1,2019-02-13,101000.0,464,96345.0,4191.0,SELL, ,946.0
2,2019-02-15,95000.0,342,95342.0,0.0,BUY, ,958.75
3,2019-02-18,99500.0,457,95342.0,3701.0,SELL, ,965.75
4,2019-02-28,101500.0,365,101865.0,0.0,BUY, ,1020.25
5,2019-03-01,105500.0,485,101865.0,3150.0, ,SELL,1025.0
6,2019-03-05,103500.0,372,103872.0,0.0,BUY, ,1028.25
7,2019-03-06,104500.0,480,103872.0,148.0,SELL, ,1025.75
8,2019-03-08,99000.0,356,99356.0,0.0,BUY, ,1023.25
9,2019-06-03,72500.0,333,99356.0,-27189.0,SELL, ,720.75
10,2019-07-08,82500.0,297,82797.0,0.0,BUY, ,808.75
11,2019-07-09,82500.0,379,82797.0,-676.0,SELL, ,811.0
12,2019-08-02,90000.0,324,90324.0,0.0,BUY, ,899.25
13,2019-08-07,100500.0,462,90324.0,9714.0,SELL, ,916.0
14,2019-08-26,103000.0,370,103370.0,0.0,BUY, ,1016.25
15,2019-08-27,102000.0,469,103370.0,-1839.0, ,SELL,1020.5
16,2019-08-28,105000.0,378,105378.0,0.0,BUY, ,1026.25
17,2019-08-29,105500.0,485,105378.0,-363.0,SELL, ,1032.75
18,2019-09-13,107000.0,385,107385.0,0.0,BUY, ,1080.25
19,2019-10-11,101500.0,466,107385.0,-6351.0, ,SELL,1001.0
20,2019-10-14,100000.0,360,100360.0,0.0,BUY, ,998.5
21,2019-10-24,97500.0,448,100360.0,-3308.0, ,SELL,963.5
22,2019-10-25,95500.0,343,95843.0,0.0,BUY, ,961.75
23,2019-12-06,81000.0,372,95843.0,-15215.0, ,SELL,804.25
