,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-18,57500.0,207,57707.0,0.0, , ,BUY,31.825127875863316,,8.333333333333334
1,2019-02-01,59000.0,271,57707.0,1022.0, ,SELL,SELL,27.846566937609296,91.37055837563616,80.0
2,2019-03-08,60500.0,217,60717.0,0.0, , ,BUY,63.59031718260507,24.573919936582737,14.285714285714286
3,2019-04-01,65500.0,301,60717.0,4482.0,SELL, ,SELL,96.34296998308058,354.67980295566434,100.0
4,2019-04-22,65000.0,234,65234.0,0.0,BUY,BUY, ,6.2168429021697875,-11.67315175097276,23.076923076923077
5,2019-04-29,69500.0,319,65234.0,3947.0, ,SELL,SELL,77.79013607420147,133.33333333333366,92.3076923076923
6,2019-05-13,66500.0,239,66739.0,0.0, ,BUY,BUY,79.87307825592603,-12.515964240102283,17.647058823529413
7,2019-06-14,62000.0,285,66739.0,-5024.0, ,SELL,SELL,48.355463792302444,2.949852507374631,83.33333333333333
8,2019-09-12,64000.0,230,64230.0,0.0, , ,BUY,56.41966912692991,80.00000000000189,9.090909090909092
9,2019-10-02,66000.0,303,64230.0,1467.0,SELL,SELL, ,89.1847982775559,161.72193135543895,50.0
10,2019-10-29,66500.0,239,66739.0,0.0,BUY,BUY, ,4.5863415759361885,-26.66666666666787,75.0
11,2019-10-30,67000.0,308,66739.0,-47.0, ,SELL,SELL,7.838726034456087,171.35709818636624,87.5
12,2019-11-01,66500.0,239,66739.0,0.0,BUY,BUY, ,8.224730994936905,-40.935672514619355,75.0
13,2019-11-06,67000.0,308,66739.0,-47.0, ,SELL,SELL,7.810285839057542,86.11111111111049,87.5
14,2019-11-07,66500.0,239,66739.0,0.0,BUY,BUY, ,7.807591560198418,-3.0030030030023247,75.0
15,2019-12-11,62500.0,287,66739.0,-4526.0, , ,SELL,36.94213422477787,-33.61344537815213,80.0
16,2019-12-30,61000.0,219,61219.0,0.0, ,BUY,BUY,31.056172366567168,-172.83950617284177,0.0
