,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-01-30,900000.0,3240,903240.0,0.0, ,BUY,51.262343188825504
1,2019-01-31,907500.0,4174,903240.0,86.0, ,SELL,53.11588077620425
2,2019-02-07,907500.0,3267,910767.0,0.0, ,BUY,45.224314898868
3,2019-03-01,897500.0,4128,910767.0,-17395.0, ,SELL,44.96175640170746
4,2019-03-05,880000.0,3168,883168.0,0.0, ,BUY,54.43337135918557
5,2019-03-15,907500.0,4174,883168.0,20158.0, ,SELL,49.481693816758806
6,2019-04-25,960000.0,3456,963456.0,0.0, ,BUY,58.814752209675895
7,2019-05-27,870000.0,4002,963456.0,-97458.0, ,SELL,48.99744223365072
8,2019-05-28,815000.0,2934,817934.0,0.0, ,BUY,39.42009607822797
9,2019-06-05,840000.0,3864,817934.0,18202.0, ,SELL,54.17926134722602
10,2019-07-17,905000.0,3258,908258.0,0.0, ,BUY,55.5073864984868
11,2019-09-10,775000.0,3565,908258.0,-136823.0, ,SELL,44.41736923743578
12,2019-09-23,757500.0,2727,760227.0,0.0, ,BUY,53.31489846531995
13,2019-10-17,737500.0,3392,760227.0,-26119.0, ,SELL,60.56806956676412
14,2019-11-07,760000.0,2736,762736.0,0.0, ,BUY,47.15643486633506
15,2019-11-08,767500.0,3530,762736.0,1234.0, ,SELL,51.68367455264449
16,2019-11-12,760000.0,2736,762736.0,0.0, ,BUY,45.46485001548645
17,2019-11-21,770000.0,3542,762736.0,3722.0, ,SELL,47.83797050638264
18,2019-11-25,750000.0,2700,752700.0,0.0, ,BUY,40.818246205616816
19,2019-12-02,755000.0,3473,752700.0,-1173.0, ,SELL,52.3511800880586
20,2019-12-04,742500.0,2673,745173.0,0.0, ,BUY,54.50874665252476
21,2019-12-06,757500.0,3484,745173.0,8843.0, ,SELL,54.133329431638394
