,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-01-30,430000.0,1548,431548.0,0.0,BUY,BUY,-62.125748502994185,8.695652173913043
1,2019-03-22,408000.0,1876,431548.0,-25424.0,SELL,SELL,39.00709219858235,92.3076923076923
2,2019-04-05,402000.0,1447,403447.0,0.0,BUY,BUY,-54.98981670061097,14.285714285714286
3,2019-04-24,413000.0,1899,403447.0,7654.0,SELL,SELL,44.37669376693783,90.47619047619048
4,2019-04-29,395000.0,1422,396422.0,0.0,BUY,BUY,-100.50714615029992,9.090909090909092
5,2019-05-31,306000.0,1407,396422.0,-91829.0,SELL,SELL,7.895640233436264,91.89189189189189
6,2019-06-12,288000.0,1036,289036.0,0.0,BUY,BUY,-36.97916666666679,16.0
7,2019-06-25,306000.0,1407,289036.0,15557.0,SELL,SELL,37.97670336684207,88.88888888888889
8,2019-07-09,293000.0,1054,294054.0,0.0,BUY,BUY,-8.384622246008552,18.51851851851852
9,2019-10-18,235000.0,1081,294054.0,-60135.0,SELL,SELL,58.20105820105799,100.0
10,2019-10-31,225000.0,810,225810.0,0.0,BUY,BUY,-10.45146920243328,17.24137931034483
11,2019-11-05,243000.0,1117,225810.0,16073.0,SELL,SELL,93.66391184573003,80.0
12,2019-11-29,242000.0,871,242871.0,0.0,BUY,BUY,-44.2773600668336,19.35483870967742
13,2019-12-09,259000.0,1191,242871.0,14938.0,SELL,SELL,98.93238434163698,85.18518518518519
