,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-12,92400.0,332,92732.0,0.0, ,BUY,BUY,67.80188191791953,952.7,998.7829686543749,906.6170313456252,2.9411764705882355
1,2019-03-22,83200.0,382,92732.0,-9914.0, ,SELL,SELL,66.48508226289277,783.5,864.4135340965902,702.5864659034098,89.0625
2,2019-04-11,77400.0,278,77678.0,0.0, ,BUY,BUY,39.8431915666862,784.0,834.8015747787415,733.1984252212585,12.5
3,2019-04-30,79000.0,363,77678.0,959.0, ,SELL,SELL,39.8238062867867,765.9,812.6242977475326,719.1757022524673,80.95238095238095
4,2019-05-03,73000.0,262,73262.0,0.0, ,BUY,BUY,33.47900701743475,759.7,803.8320745036997,715.5679254963004,11.764705882352942
5,2019-05-29,72600.0,333,73262.0,-995.0,SELL, ,SELL,85.33360414946179,683.9,788.8531323972774,578.9468676027226,81.94444444444444
6,2019-06-28,75800.0,272,76072.0,0.0, ,BUY,BUY,59.78280854497308,762.2,802.6158384794883,721.7841615205118,16.0
7,2019-07-03,79600.0,366,76072.0,3162.0, ,SELL,SELL,58.23446136146625,769.7,803.8356119031145,735.5643880968856,100.0
8,2019-07-31,84000.0,302,84302.0,0.0, ,BUY,BUY,46.06253255402529,848.7,903.8691943026154,793.5308056973847,18.181818181818183
9,2019-08-19,89200.0,410,84302.0,4488.0, ,SELL,SELL,50.67542207072707,863.6,902.4967864996544,824.7032135003457,100.0
10,2019-09-19,118000.0,424,118424.0,0.0, ,BUY,BUY,52.79142271251749,1175.75,1335.3205173269798,1016.1794826730201,18.181818181818183
11,2019-09-30,122500.0,563,118424.0,3513.0, ,SELL,SELL,44.87768791600684,1205.25,1295.5536544111033,1114.9463455888967,83.33333333333333
12,2019-10-31,126500.0,455,126955.0,0.0, ,BUY,BUY,25.46066133730055,1295.0,1355.9097693313643,1234.0902306686357,13.043478260869565
13,2019-12-02,115000.0,529,126955.0,-12484.0, , ,SELL,39.164109639658996,1096.0,1189.7869927015468,1002.2130072984532,94.11764705882354
