,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-30,37500.0,135,37635.0,0.0, ,BUY,BUY,37.85475484167998,-92.46435845213817,13.88888888888889
1,2019-03-04,36800.0,169,37635.0,-1004.0, ,SELL,SELL,62.88856332159945,59.02422381439777,90.0
2,2019-03-18,34900.0,125,35025.0,0.0, ,BUY,BUY,36.719497279269696,-105.38780343398422,16.666666666666668
3,2019-04-10,35300.0,162,35025.0,113.0, ,SELL,SELL,50.041958335091735,81.37317228226324,84.21052631578948
4,2019-05-09,33700.0,121,33821.0,0.0, ,BUY,BUY,46.27362436951835,-97.62442664475932,11.904761904761905
5,2019-05-31,33000.0,151,33821.0,-972.0, ,SELL,SELL,57.889935071530026,22.10846501966037,100.0
6,2019-06-21,32000.0,115,32115.0,0.0, ,BUY,BUY,57.20802612467551,-27.308192457737245,0.0
7,2019-09-05,25500.0,117,32115.0,-6732.0, ,SELL,SELL,52.8876242759133,83.93021120293884,89.65517241379311
8,2019-09-23,23800.0,85,23885.0,0.0, ,BUY,BUY,52.18480561336807,-87.38548273432048,9.75609756097561
9,2019-10-18,24800.0,114,23885.0,801.0, ,SELL,SELL,63.40596630391155,171.01051668952925,91.42857142857143
10,2019-11-28,23300.0,83,23383.0,0.0, ,BUY,BUY,68.95789930334084,-109.3831000518405,13.043478260869565
11,2019-12-09,28000.0,128,23383.0,4489.0, ,SELL,SELL,73.78512660508957,164.59096459096483,98.18181818181819
