,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-05,92200.0,331,92531.0,0.0,BUY,BUY, ,946.0,1017.7216843081651,874.2783156918349,-36.231884057970944,26.08695652173913
1,2019-03-22,83200.0,382,92531.0,-9713.0,SELL,SELL,SELL,783.5,864.4135340965902,702.5864659034098,83.65987460815028,89.0625
2,2019-04-11,77400.0,278,77678.0,0.0,BUY,BUY,BUY,784.0,834.8015747787415,733.1984252212585,-4.115913009622009,12.5
3,2019-04-30,79000.0,363,77678.0,959.0,SELL,SELL,SELL,765.9,812.6242977475326,719.1757022524673,61.935330480266366,80.95238095238095
4,2019-05-02,74000.0,266,74266.0,0.0,BUY,BUY, ,763.1,808.026161643302,718.1738383566981,-38.851769364018494,26.470588235294116
5,2019-05-29,72600.0,333,74266.0,-1999.0, ,SELL,SELL,683.9,788.8531323972774,578.9468676027226,39.05160390516039,81.94444444444444
6,2019-06-27,75600.0,272,75872.0,0.0,BUY,BUY, ,760.9,803.3918815775448,718.4081184224551,-3.3777444173390037,35.294117647058826
7,2019-07-01,77000.0,354,75872.0,774.0,SELL,SELL, ,764.1,802.1625800491779,726.0374199508221,49.01036757775671,40.0
8,2019-07-31,84000.0,302,84302.0,0.0,BUY,BUY,BUY,848.7,903.8691943026154,793.5308056973847,-2.6948590381430026,18.181818181818183
9,2019-08-13,87000.0,400,84302.0,2298.0,SELL,SELL, ,858.7,898.9646246722815,818.4353753277186,67.23163841807963,67.3913043478261
10,2019-09-19,118000.0,424,118424.0,0.0,BUY, ,BUY,1175.75,1335.3205173269798,1016.1794826730201,14.2763731473408,18.181818181818183
11,2019-09-27,123000.0,565,118424.0,4011.0,SELL,SELL, ,1204.25,1294.098483570954,1114.401516429046,51.961823966065765,70.27027027027027
12,2019-10-24,128500.0,462,128962.0,0.0,BUY,BUY, ,1285.25,1364.966685831763,1205.533314168237,-6.036217303822935,36.0
13,2019-12-02,115000.0,529,128962.0,-14491.0, ,SELL,SELL,1096.0,1189.7869927015468,1002.2130072984532,73.01262367792576,94.11764705882354
14,2019-12-10,108000.0,388,108388.0,0.0,BUY,BUY, ,1092.25,1181.942530346735,1002.5574696532649,-2.205258693808158,48.648648648648646
15,2019-12-13,114500.0,526,108388.0,5586.0,SELL,SELL,SELL,1090.5,1178.8685464404614,1002.1314535595385,86.13751177326837,83.78378378378379
