,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-02-04,820000.0,2952,822952.0,0.0,BUY,BUY,-0.31580609505717566,17.647058823529413
1,2019-03-29,730000.0,3358,822952.0,-96310.0,SELL,SELL,12.652705061081729,80.0
2,2019-05-02,747500.0,2691,750191.0,0.0,BUY,BUY,-90.55425448868101,12.0
3,2019-05-29,720000.0,3312,750191.0,-33503.0,SELL,SELL,16.550657385924435,88.46153846153847
4,2019-06-24,735000.0,2646,737646.0,0.0,BUY,BUY,-25.804835274958894,12.5
5,2019-07-11,752500.0,3461,737646.0,11393.0,SELL,SELL,95.76988155668377,100.0
6,2019-07-17,710000.0,2556,712556.0,0.0,BUY,BUY,-125.20325203252045,0.0
7,2019-08-30,667500.0,3070,712556.0,-48126.0,SELL,SELL,10.314111579934092,85.0
8,2019-09-17,647500.0,2331,649831.0,0.0,BUY,BUY,-18.22541966426876,18.181818181818183
9,2019-10-17,662500.0,3047,649831.0,9622.0,SELL,SELL,38.086669665616576,88.23529411764706
10,2019-11-08,662500.0,2385,664885.0,0.0,BUY,BUY,-49.2686682063127,16.666666666666668
11,2019-12-05,670000.0,3082,664885.0,2033.0,SELL,SELL,73.5382760699216,100.0
