,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-12,34200.0,123,34323.0,0.0, ,BUY, ,58.11073412506177,-34.3505085876278,25.0
1,2019-02-13,35600.0,163,34323.0,1114.0, ,SELL, ,66.02457274432322,39.80598762334814,60.0
2,2019-02-25,34800.0,125,34925.0,0.0, ,BUY, ,60.06888350676924,-12.10826210826202,40.0
3,2019-02-27,35800.0,164,34925.0,711.0, ,SELL, ,46.51525428307437,9.929078014184237,72.22222222222223
4,2019-02-28,35200.0,126,35326.0,0.0, ,BUY, ,47.64355745768854,-17.98941798941787,55.55555555555556
5,2019-03-15,35000.0,161,35326.0,-487.0, ,SELL, ,43.71987994350834,6.36942675159288,45.45454545454545
6,2019-03-18,35000.0,126,35126.0,0.0, ,BUY, ,43.91629677837827,-9.906759906759843,45.45454545454545
7,2019-03-19,35600.0,163,35126.0,311.0, ,SELL, ,45.287373563639946,75.0988142292482,72.72727272727273
8,2019-03-22,34800.0,125,34925.0,0.0, ,BUY, ,44.63079331732426,-64.28885953324526,33.333333333333336
9,2019-06-10,24400.0,112,34925.0,-10637.0, ,SELL, ,57.22876321318037,5.291005291006123,57.142857142857146
10,2019-06-24,24600.0,88,24688.0,0.0, ,BUY, ,72.16320893483808,-1.740644038294808,38.46153846153846
11,2019-06-26,25200.0,115,24688.0,397.0, ,SELL, ,74.38231148180651,131.87702265372096,61.53846153846154
12,2019-07-17,26000.0,93,26093.0,0.0, ,BUY, ,68.82277847186651,-24.221734536291837,28.0
13,2019-07-22,27600.0,126,26093.0,1381.0, ,SELL, ,65.86939420441158,21.505376344086006,52.38095238095238
14,2019-07-25,26800.0,96,26896.0,0.0, ,BUY, ,58.68361250176493,-16.149596260093773,33.333333333333336
15,2019-10-16,19500.0,89,26896.0,-7485.0, ,SELL, ,22.438466275908937,9.309856304391639,68.96551724137932
16,2019-11-04,19500.0,70,19570.0,0.0, ,BUY, ,39.76619967013749,-3.089598352214331,40.0
17,2019-12-26,18700.0,86,19570.0,-956.0, ,SELL, ,21.23275030752822,14.075495841331106,57.142857142857146
18,2019-12-27,18700.0,67,18767.0,0.0,BUY, , ,19.494920617901514,50.42016806722639,57.142857142857146
19,2019-12-30,18600.0,85,18767.0,-252.0, ,SELL, ,17.510697366659926,18.018018018019642,42.857142857142854
