,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-26,315000.0,1134,316134.0,0.0, ,BUY,BUY,BUY,65.3826474749624,3336.0,3944.9137870010863,2727.0862129989137,-26.737967914438503,7.246376811594203
1,2019-04-12,275000.0,1265,316134.0,-42399.0, , ,SELL,SELL,58.511492089420486,2624.5,3010.9440451087344,2238.0559548912656,24.366150806717172,95.74468085106383
2,2019-04-24,252000.0,907,252907.0,0.0, ,BUY,BUY,BUY,70.9250473776047,2583.0,2846.7498815165636,2319.2501184834364,-20.32935831913665,17.073170731707318
3,2019-04-29,262000.0,1205,252907.0,7888.0, , ,SELL, ,73.49866354306604,2589.5,2843.1513354981626,2335.8486645018374,5.11033681765368,41.46341463414634
4,2019-05-01,261000.0,939,261939.0,0.0, ,BUY,BUY, ,75.92088163288493,2617.5,2803.0666995988277,2431.9333004011723,-7.836045810729623,39.02439024390244
5,2019-05-30,199500.0,917,261939.0,-63356.0, ,SELL,SELL, ,60.84894075154587,1969.5,2341.7485728649594,1597.2514271350403,5.812365905987943,76.82926829268293
6,2019-06-13,194500.0,700,195200.0,0.0, ,BUY, ,BUY,67.71548927343252,1967.0,2191.017856431132,1742.9821435688684,6.398647832910894,18.181818181818183
7,2019-06-20,220000.0,1012,195200.0,23788.0, , ,SELL,SELL,68.10260537383533,2019.0,2154.484316435517,1883.515683564483,154.39170758319705,92.85714285714286
8,2019-08-23,327000.0,1177,328177.0,0.0, ,BUY,BUY, ,61.52538104060598,3466.0,3851.4036844660473,3080.5963155339527,-45.42992768167197,26.881720430107528
9,2019-08-27,349000.0,1605,328177.0,19218.0, , ,SELL, ,60.65318588686779,3474.5,3855.1560126938816,3093.8439873061184,6.63382594417083,48.31460674157304
10,2019-09-04,340000.0,1224,341224.0,0.0, ,BUY,BUY, ,39.50076657910346,3568.0,3865.1598896217406,3270.8401103782594,-66.02031394275178,38.20224719101124
11,2019-10-14,304000.0,1398,341224.0,-38622.0, , , ,SELL,63.07133728056519,2919.0,3333.7240046102984,2504.2759953897016,-0.8444574360972487,93.47826086956522
12,2019-11-15,312000.0,1123,313123.0,0.0, ,BUY,BUY,BUY,69.73036800401718,3277.5,3503.8514965711606,3051.1485034288394,-72.38095238095264,4.444444444444445
13,2019-12-13,312000.0,1435,313123.0,-2558.0, , ,SELL,SELL,54.127101610352845,3052.0,3217.481116747511,2886.518883252489,59.271492797504536,88.88888888888889
14,2019-12-18,300000.0,1080,301080.0,0.0, ,BUY,BUY, ,55.913639650020905,3038.5,3184.8249807790976,2892.1750192209024,-26.748971193415464,58.333333333333336
