,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-04-11,61000.0,219,61219.0,0.0, ,BUY,BUY,58.69879838094029,714.75,797.6037868778477,631.8962131221523,-126.12137203166203
1,2019-05-24,46200.0,212,61219.0,-15231.0,SELL, ,SELL,80.43641685040426,471.75,508.5514945348699,434.9485054651301,46.46464646464652
2,2019-06-12,47400.0,170,47570.0,0.0,BUY,BUY,BUY,10.151605419231913,486.4,515.837391188759,456.9626088112409,-25.12471655328771
3,2019-06-14,49000.0,225,47570.0,1205.0, ,SELL,SELL,24.821957645072274,486.4,518.4399750312017,454.3600249687982,14.565186348707758
4,2019-06-17,48600.0,174,48774.0,0.0, ,BUY,BUY,26.064065130611723,487.1,518.4553823130899,455.74461768691015,-17.224685318248966
5,2019-07-03,48800.0,224,48774.0,-198.0, ,SELL,SELL,55.992317928865226,479.6,505.93932421304777,453.2606757869523,50.54991539763054
6,2019-07-12,48200.0,173,48373.0,0.0, ,BUY,BUY,52.95069386360092,481.9,504.4024443116751,459.39755568832487,-4.679144385026664
7,2019-07-16,49400.0,227,48373.0,800.0, ,SELL,SELL,54.70788975568566,483.5,506.3691932520594,460.6308067479406,77.41935483870961
8,2019-07-22,49400.0,177,49577.0,0.0, ,BUY,BUY,55.65134848642825,488.3,507.61942028115834,468.9805797188417,-9.738123437294053
9,2019-07-23,49400.0,227,49577.0,-404.0, ,SELL,SELL,54.46392567454242,489.5,507.0214154679361,471.9785845320639,58.97320760365259
10,2019-07-24,49200.0,177,49377.0,0.0, ,BUY,BUY,54.14655540950688,490.6,505.6784614599776,475.52153854002245,-16.260162601625115
11,2019-08-01,50500.0,232,49377.0,891.0, ,SELL,SELL,38.135482991848974,494.7,505.6562767398429,483.7437232601571,133.52272727272748
12,2019-08-05,48200.0,173,48373.0,0.0, ,BUY,BUY,32.39254535248946,492.2,508.28228839438054,476.11771160561943,-70.50359712230241
13,2019-08-15,49600.0,228,48373.0,999.0, ,SELL,SELL,53.02274125169765,489.0,506.308957218736,471.691042781264,91.8367346938777
14,2019-08-21,48800.0,175,48975.0,0.0,BUY,BUY,BUY,14.715281089198413,489.1,506.7737092880933,471.42629071190674,-69.62025316455704
15,2019-08-23,49400.0,227,48975.0,198.0, ,SELL,SELL,25.71430849833733,488.5,506.85755975068673,470.14244024931327,58.54387394729659
16,2019-08-28,45800.0,164,45964.0,0.0, ,BUY,BUY,31.886006981182447,486.65,508.2488425615827,465.05115743841725,-137.81425035821295
17,2019-09-09,48400.0,222,45964.0,2214.0, ,SELL,SELL,10.843431739074376,482.9,508.0547212268401,457.74527877315984,8.810572687224749
18,2019-09-10,47600.0,171,47771.0,0.0,BUY,BUY,BUY,15.775777183851446,482.6,507.9329824537113,457.26701754628874,-42.216358839049995
19,2019-10-10,34200.0,157,47771.0,-13728.0,SELL, , ,87.66274231809926,368.0,405.3309523050271,330.6690476949729,-101.74255199550304
20,2019-10-11,33600.0,120,33720.0,0.0, ,BUY,BUY,56.04275089082868,365.7,404.9178530773959,326.4821469226041,-105.05970870435571
21,2019-10-21,36000.0,165,33720.0,2115.0, ,SELL,SELL,57.992004020376704,353.7,385.5565534859035,321.84344651409646,43.40704340704331
22,2019-10-24,34200.0,123,34323.0,0.0, ,BUY,BUY,53.87042117674583,352.6,382.80198668962413,322.3980133103759,-29.549549549549713
23,2019-10-28,36000.0,165,34323.0,1512.0, ,SELL,SELL,54.15284302040244,352.0,381.3393933134316,322.6606066865684,85.45119705340686
24,2019-10-30,38000.0,136,38136.0,0.0,BUY, , ,5.7004995327695696,351.5,379.9218226016601,323.0781773983399,161.19116234389995
25,2019-11-01,35400.0,162,38136.0,-2898.0, ,SELL,SELL,20.481334680448697,352.2,382.37018395701676,322.0298160429832,12.015503875969303
26,2019-11-04,34600.0,124,34724.0,0.0,BUY,BUY,BUY,19.947016525797906,352.4,382.3492904757397,322.4507095242603,-40.687679083094366
27,2019-12-16,27800.0,127,34724.0,-7051.0,SELL, , ,96.49607043812227,297.3,335.6097898715245,258.9902101284755,-72.22222222222234
28,2019-12-17,26200.0,94,26294.0,0.0, ,BUY,BUY,91.04009836882301,295.5,336.7771123021023,254.2228876978977,-159.66266437964563
29,2019-12-18,31000.0,142,26294.0,4564.0,SELL, ,SELL,92.77808890444523,296.0,337.7228953933013,254.27710460669869,33.81437464629306
