,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
81,BEST,25290.0,-4175.0,-16,2975,13,13,BB_MAVG_20,LAYER_3,Fraksi_1
82,BEST,25290.0,-5424.0,-21,2424,11,11,CCI_20,LAYER_3,Fraksi_1
83,BEST,24086.0,-6298.0,-26,1098,5,5,SO_14,LAYER_3,Fraksi_1
360,BEST,24889.0,2784.0,11,307,2,1,MFII_14_AND_BB_MAVG_20,LAYER_3,Fraksi_1
361,BEST,25290.0,-4175.0,-16,2975,13,13,MFII_14_OR_BB_MAVG_20,LAYER_3,Fraksi_1
362,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_CCI_20,LAYER_3,Fraksi_1
363,BEST,25290.0,-5424.0,-21,2424,11,11,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
364,BEST,24889.0,2784.0,11,307,2,1,MFII_14_AND_SO_14,LAYER_3,Fraksi_1
365,BEST,25290.0,-5424.0,-21,2424,11,11,MFII_14_OR_CCI_20,LAYER_3,Fraksi_1
366,BEST,25290.0,-3166.0,-12,1766,8,8,BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
367,BEST,25290.0,-8890.0,-35,4490,20,20,BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
368,BEST,24086.0,-3112.0,-12,1112,5,5,BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
369,BEST,25290.0,-7162.0,-28,2962,13,13,BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
370,BEST,24086.0,-3508.0,-14,1108,5,5,CCI_20_AND_SO_14,LAYER_3,Fraksi_1
371,BEST,25290.0,-5825.0,-23,2425,11,11,CCI_20_OR_SO_14,LAYER_3,Fraksi_1
800,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
801,BEST,25290.0,-8890.0,-35,4490,20,20,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
802,BEST,25290.0,-5424.0,-21,2424,11,11,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
803,BEST,25290.0,-3166.0,-12,1766,8,8,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
804,BEST,24889.0,2784.0,11,307,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
805,BEST,25290.0,-7162.0,-28,2962,13,13,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
806,BEST,24086.0,-6298.0,-26,1098,5,5,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
807,BEST,24086.0,-3112.0,-12,1112,5,5,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
808,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
809,BEST,25290.0,-5825.0,-23,2425,11,11,MFII_14_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
810,BEST,24086.0,-6298.0,-26,1098,5,5,MFII_14_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
811,BEST,24086.0,-4702.0,-19,1102,5,5,MFII_14_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
812,BEST,24086.0,-322.0,-1,1122,5,5,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
813,BEST,25290.0,-8890.0,-35,4490,20,20,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
814,BEST,25290.0,-6753.0,-26,1753,8,8,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
815,BEST,25290.0,-7162.0,-28,2962,13,13,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
1080,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
1081,BEST,25290.0,-8890.0,-35,4490,20,20,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
1082,BEST,24086.0,-6298.0,-26,1098,5,5,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
1083,BEST,25290.0,-7162.0,-28,2962,13,13,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
1084,BEST,24086.0,-1516.0,-6,1116,5,5,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
1085,BEST,25290.0,-5825.0,-23,2425,11,11,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
