,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
68,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14,LAYER_1,Fraksi_2
69,SCMA,38237.0,-9318.0,-24,2518,10,10,BB_MAVG_20,LAYER_1,Fraksi_2
70,SCMA,38237.0,-5509.0,-14,2109,9,9,CCI_20,LAYER_1,Fraksi_2
71,SCMA,37635.0,-447.0,-1,1747,7,7,SO_14,LAYER_1,Fraksi_2
324,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_2
325,SCMA,38237.0,-9318.0,-24,2518,10,10,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_2
326,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14_AND_CCI_20,LAYER_1,Fraksi_2
327,SCMA,38237.0,-5509.0,-14,2109,9,9,MFII_14_OR_CCI_20,LAYER_1,Fraksi_2
328,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14_AND_SO_14,LAYER_1,Fraksi_2
329,SCMA,38237.0,-5509.0,-14,2109,9,9,MFII_14_OR_CCI_20,LAYER_1,Fraksi_2
330,SCMA,38237.0,-5724.0,-14,1724,7,7,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_2
331,SCMA,38237.0,-11106.0,-29,3706,15,15,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_2
332,SCMA,37635.0,-4911.0,-13,1211,5,5,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_2
333,SCMA,38237.0,-7664.0,-20,3064,12,12,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_2
334,SCMA,37635.0,-3305.0,-8,1505,6,6,CCI_20_AND_SO_14,LAYER_1,Fraksi_2
335,SCMA,38237.0,-4156.0,-10,2356,10,10,CCI_20_OR_SO_14,LAYER_1,Fraksi_2
752,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_2
753,SCMA,38237.0,-11106.0,-29,3706,15,15,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_2
754,SCMA,38237.0,-5509.0,-14,2109,9,9,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_2
755,SCMA,38237.0,-5724.0,-14,1724,7,7,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_2
756,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_2
757,SCMA,38237.0,-7664.0,-20,3064,12,12,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_2
758,SCMA,37635.0,-447.0,-1,1747,7,7,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_2
759,SCMA,37635.0,-4911.0,-13,1211,5,5,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_2
760,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_2
761,SCMA,38237.0,-4156.0,-10,2356,10,10,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_2
762,SCMA,37635.0,-447.0,-1,1747,7,7,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_2
763,SCMA,37635.0,-3305.0,-8,1505,6,6,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_2
764,SCMA,37635.0,-4911.0,-13,1211,5,5,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_2
765,SCMA,38237.0,-9753.0,-25,3953,16,16,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_2
766,SCMA,38237.0,-3674.0,-9,1974,8,8,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_2
767,SCMA,38237.0,-9017.0,-23,2817,11,11,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_2
1062,SCMA,35025.0,-2713.0,-7,513,2,2,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_2
1063,SCMA,38237.0,-9753.0,-25,3953,16,16,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_2
1064,SCMA,37635.0,-447.0,-1,1747,7,7,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_2
1065,SCMA,38237.0,-9017.0,-23,2817,11,11,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_2
1066,SCMA,37635.0,-4911.0,-13,1211,5,5,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_2
1067,SCMA,38237.0,-4156.0,-10,2356,10,10,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_2
