,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
96,KLBF,151543.0,12518.0,8,2482,2,2,MFII_14,LAYER_1,Fraksi_3
97,KLBF,161579.0,-20277.0,-12,12777,10,10,BB_MAVG_20,LAYER_1,Fraksi_3
98,KLBF,160074.0,-15209.0,-9,15209,12,12,CCI_20,LAYER_1,Fraksi_3
99,KLBF,160074.0,-2461.0,-1,9961,8,8,SO_14,LAYER_1,Fraksi_3
408,KLBF,151543.0,12518.0,8,2482,2,2,MFII_14_AND_BB_MAVG_20,LAYER_1,Fraksi_3
409,KLBF,161579.0,-20277.0,-12,12777,10,10,MFII_14_OR_BB_MAVG_20,LAYER_1,Fraksi_3
410,KLBF,151543.0,12020.0,7,2480,2,2,MFII_14_AND_CCI_20,LAYER_1,Fraksi_3
411,KLBF,160074.0,-15209.0,-9,15209,12,12,MFII_14_OR_CCI_20,LAYER_1,Fraksi_3
412,KLBF,126453.0,37608.0,29,2392,2,2,MFII_14_AND_SO_14,LAYER_1,Fraksi_3
413,KLBF,160074.0,-15209.0,-9,15209,12,12,MFII_14_OR_CCI_20,LAYER_1,Fraksi_3
414,KLBF,160074.0,-7537.0,-4,10037,8,8,BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_3
415,KLBF,161579.0,-38056.0,-23,31556,25,25,BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_3
416,KLBF,160074.0,-3434.0,-2,7434,6,6,BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_3
417,KLBF,161579.0,-29382.0,-18,21382,17,17,BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_3
418,KLBF,160074.0,-3598.0,-2,8598,7,7,CCI_20_AND_SO_14,LAYER_1,Fraksi_3
419,KLBF,160074.0,-13896.0,-8,16396,13,13,CCI_20_OR_SO_14,LAYER_1,Fraksi_3
864,KLBF,151543.0,12020.0,7,2480,2,2,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_3
865,KLBF,161579.0,-38056.0,-23,31556,25,25,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_3
866,KLBF,160074.0,-15209.0,-9,15209,12,12,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_1,Fraksi_3
867,KLBF,160074.0,-7537.0,-4,10037,8,8,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_1,Fraksi_3
868,KLBF,126453.0,37608.0,29,2392,2,2,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_3
869,KLBF,161579.0,-29382.0,-18,21382,17,17,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_3
870,KLBF,160074.0,-2461.0,-1,9961,8,8,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_1,Fraksi_3
871,KLBF,160074.0,-3434.0,-2,7434,6,6,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_1,Fraksi_3
872,KLBF,144016.0,17239.0,11,1261,1,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
873,KLBF,160074.0,-13896.0,-8,16396,13,13,MFII_14_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
874,KLBF,160074.0,-2461.0,-1,9961,8,8,MFII_14_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
875,KLBF,160074.0,-3598.0,-2,8598,7,7,MFII_14_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
876,KLBF,160074.0,4594.0,2,7406,6,6,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
877,KLBF,161579.0,-36743.0,-22,32743,26,26,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
878,KLBF,160074.0,-14288.0,-8,13788,11,11,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
879,KLBF,161579.0,-30695.0,-18,20195,16,16,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
1104,KLBF,144016.0,17239.0,11,1261,1,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
1105,KLBF,161579.0,-36743.0,-22,32743,26,26,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
1106,KLBF,160074.0,-2461.0,-1,9961,8,8,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
1107,KLBF,161579.0,-30695.0,-18,20195,16,16,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
1108,KLBF,160074.0,4594.0,2,7406,6,6,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_1,Fraksi_3
1109,KLBF,160074.0,-13896.0,-8,16396,13,13,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_1,Fraksi_3
